,city,source,pollutant_subtype,concentration
0,Hong Kong,waste_handling,PM25_PRIMARY,0.04946065268155274
1,Bangkok,wildfires,PM25_PRIMARY,0.0
2,Tel Aviv,transportation,PM25_PRIMARY,0.5113923995608481
3,Barcelona,waste_handling,PM25_PRIMARY,0.0001315844616465008
4,Freetown,soil,PM25_PRIMARY,0.0
5,Tel Aviv,transportation,PM25_NH4,0.0614292466796293
6,Barcelona,industry,PM25_PRIMARY,0.42439220749927226
7,Freetown,soil,PM25_NH4,0.0
8,Tel Aviv,transportation,PM25_NO3,0.1290896166597513
9,Barcelona,waste_handling,PM25_NH4,0.16692564374547494
10,Freetown,soil,PM25_NO3,8.82258262549672e-05
11,Hong Kong,waste_handling,PM25_NH4,0.03786263748153499
12,Freetown,soil,PM25_SO4,0.0
13,Tel Aviv,transportation,PM25_SO4,0.0863246597358092
14,Barcelona,industry,PM25_NH4,0.2749907945995641
15,Freetown,soil,PM25_SOA,0.0
16,Bangkok,wildfires,PM25_NH4,0.0
17,Tel Aviv,transportation,PM25_SOA,0.31701689569135355
18,Barcelona,waste_handling,PM25_NO3,0.0009198622854441082
19,San Francisco,powerplants,PM25_PRIMARY,0.012386525553719158
20,Portland,vegetation,PM25_PRIMARY,0.0
21,San Francisco,powerplants,PM25_NH4,0.006256712000859852
22,Jaipur,shipping,PM25_PRIMARY,0.0
23,Barcelona,industry,PM25_NO3,1.370963697144005
24,Portland,vegetation,PM25_NH4,0.0
25,Dakar,waste_handling,PM25_PRIMARY,0.6264149269981598
26,San Francisco,powerplants,PM25_NO3,0.0434807350486584
27,Barcelona,waste_handling,PM25_SO4,0.0007734706846853725
28,Hong Kong,waste_handling,PM25_NO3,0.008135917862045707
29,Portland,vegetation,PM25_NO3,0.0
30,San Francisco,powerplants,PM25_SO4,0.15009207662722845
31,San Francisco,powerplants,PM25_SOA,0.014963802910431753
32,Portland,vegetation,PM25_SO4,0.0
33,Jakarta,solvents,PM25_PRIMARY,0.0
34,Dakar,waste_handling,PM25_NH4,0.657605944440926
